date,campaign,anomaly_type,severity,current_value,baseline_value,description,action,source
2026-01-31,,Invalid Email Spike,MEDIUM,30.8%,<5%,Invalid email rate at 30.8%. Email validation broken.,"Check: 1) Form validation rules, 2) API payload, 3) Recent form changes",LinkedIn
2026-01-31,,Invalid Email Spike,MEDIUM,5.1%,<5%,Invalid email rate at 5.1%. Email validation broken.,"Check: 1) Form validation rules, 2) API payload, 3) Recent form changes",Content
2026-01-30,,Invalid Email Spike,MEDIUM,5.2%,<5%,Invalid email rate at 5.2%. Email validation broken.,"Check: 1) Form validation rules, 2) API payload, 3) Recent form changes",Paid Search
2026-01-30,,Invalid Email Spike,MEDIUM,30.6%,<5%,Invalid email rate at 30.6%. Email validation broken.,"Check: 1) Form validation rules, 2) API payload, 3) Recent form changes",LinkedIn
2026-01-30,,Invalid Email Spike,MEDIUM,5.2%,<5%,Invalid email rate at 5.2%. Email validation broken.,"Check: 1) Form validation rules, 2) API payload, 3) Recent form changes",Webinar
2026-01-29,,Invalid Email Spike,MEDIUM,30.2%,<5%,Invalid email rate at 30.2%. Email validation broken.,"Check: 1) Form validation rules, 2) API payload, 3) Recent form changes",LinkedIn
2026-01-27,,Invalid Email Spike,MEDIUM,5.1%,<5%,Invalid email rate at 5.1%. Email validation broken.,"Check: 1) Form validation rules, 2) API payload, 3) Recent form changes",Organic
2026-01-27,,Duplicate Lead Spike,MEDIUM,17.6%,<10%,Duplicate rate at 17.6%. Deduplication broken.,"Check: 1) SFDC duplicate rules, 2) Matching logic, 3) Integration settings",Webinar
2026-01-26,,Invalid Email Spike,MEDIUM,5.1%,<5%,Invalid email rate at 5.1%. Email validation broken.,"Check: 1) Form validation rules, 2) API payload, 3) Recent form changes",Webinar
2026-01-26,,Duplicate Lead Spike,MEDIUM,17.8%,<10%,Duplicate rate at 17.8%. Deduplication broken.,"Check: 1) SFDC duplicate rules, 2) Matching logic, 3) Integration settings",Webinar
2026-01-25,,Invalid Email Spike,MEDIUM,5.4%,<5%,Invalid email rate at 5.4%. Email validation broken.,"Check: 1) Form validation rules, 2) API payload, 3) Recent form changes",Webinar
2026-01-25,,Duplicate Lead Spike,MEDIUM,17.1%,<10%,Duplicate rate at 17.1%. Deduplication broken.,"Check: 1) SFDC duplicate rules, 2) Matching logic, 3) Integration settings",Webinar
2026-01-24,,Invalid Email Spike,MEDIUM,5.1%,<5%,Invalid email rate at 5.1%. Email validation broken.,"Check: 1) Form validation rules, 2) API payload, 3) Recent form changes",Organic
2026-01-24,,Invalid Email Spike,MEDIUM,5.4%,<5%,Invalid email rate at 5.4%. Email validation broken.,"Check: 1) Form validation rules, 2) API payload, 3) Recent form changes",Webinar
2026-01-21,,Invalid Email Spike,MEDIUM,5.3%,<5%,Invalid email rate at 5.3%. Email validation broken.,"Check: 1) Form validation rules, 2) API payload, 3) Recent form changes",Organic
